# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	101	1480	+					dnaA		KI216_RS00005	1380		old_locus_tag=ACBO_00010
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	101	1480	+	WP_005006478.1	WP_005006478.1		chromosomal replication initiator protein DnaA	dnaA		KI216_RS00005	1380	459	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	1592	2740	+					dnaN		KI216_RS00010	1149		old_locus_tag=ACBO_00020
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	1592	2740	+	WP_005006477.1	WP_005006477.1		DNA polymerase III subunit beta	dnaN		KI216_RS00010	1149	382	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	2758	3840	+					recF		KI216_RS00015	1083		old_locus_tag=ACBO_00030
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	2758	3840	+	WP_005006475.1	WP_005006475.1		DNA replication/repair protein RecF	recF		KI216_RS00015	1083	360	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	3894	6365	+					gyrB		KI216_RS00020	2472		old_locus_tag=ACBO_00040
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	3894	6365	+	WP_005006472.1	WP_005006472.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		KI216_RS00020	2472	823	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	6532	6900	+							KI216_RS00025	369		old_locus_tag=ACBO_00050
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	6532	6900	+	WP_018572694.1	WP_018572694.1		hypothetical protein			KI216_RS00025	369	122	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	7580	9514	-							KI216_RS00030	1935		old_locus_tag=ACBO_00060
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	7580	9514	-	WP_018572692.1	WP_018572692.1		ATP-binding cassette domain-containing protein			KI216_RS00030	1935	644	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	9738	10745	+							KI216_RS00035	1008		old_locus_tag=ACBO_00070
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	9738	10745	+	WP_005006468.1	WP_005006468.1		DUF6091 family protein			KI216_RS00035	1008	335	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	11004	12014	+							KI216_RS00040	1011		old_locus_tag=ACBO_00080
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	11004	12014	+	WP_005006466.1	WP_005006466.1		DUF6091 family protein			KI216_RS00040	1011	336	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	12263	13264	+							KI216_RS00045	1002		old_locus_tag=ACBO_00090
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	12263	13264	+	WP_167571623.1	WP_167571623.1		DUF6091 family protein			KI216_RS00045	1002	333	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	13376	13711	+					erpA		KI216_RS00050	336		old_locus_tag=ACBO_00100
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	13376	13711	+	WP_005006462.1	WP_005006462.1		iron-sulfur cluster insertion protein ErpA	erpA		KI216_RS00050	336	111	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	13801	14184	-							KI216_RS00055	384		old_locus_tag=ACBO_00110
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	13801	14184	-	WP_171065485.1	WP_171065485.1		hypothetical protein			KI216_RS00055	384	127	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	14299	15213	-							KI216_RS00060	915		old_locus_tag=ACBO_00120
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	14299	15213	-	WP_005006458.1	WP_005006458.1		matrixin family metalloprotease			KI216_RS00060	915	304	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	15347	17287	-					dnaK		KI216_RS00065	1941		old_locus_tag=ACBO_00130
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	15347	17287	-	WP_005006456.1	WP_005006456.1		molecular chaperone DnaK	dnaK		KI216_RS00065	1941	646	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	17409	17951	-					grpE		KI216_RS00070	543		old_locus_tag=ACBO_00140
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	17409	17951	-	WP_005006455.1	WP_005006455.1		nucleotide exchange factor GrpE	grpE		KI216_RS00070	543	180	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	18994	19470	-							KI216_RS00075	477		old_locus_tag=ACBO_00160
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	18994	19470	-	WP_005006451.1	WP_005006451.1		cell envelope integrity protein TolA			KI216_RS00075	477	158	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	19668	20741	+							KI216_RS00080	1074		old_locus_tag=ACBO_00170
