# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_009914475.1	Primary Assembly	chromosome		NZ_CP045198.1	3005163	271	+					rlmJ	69464972	GA693_RS00435	858		
CDS	with_protein	GCF_009914475.1	Primary Assembly	chromosome		NZ_CP045198.1	3005163	271	+	WP_005182209.1	WP_005182209.1		23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	rlmJ	69464972	GA693_RS00435	858	285	
gene	protein_coding	GCF_009914475.1	Primary Assembly	chromosome		NZ_CP045198.1	318	1142	+					pssA	69464973	GA693_RS00440	825		
CDS	with_protein	GCF_009914475.1	Primary Assembly	chromosome		NZ_CP045198.1	318	1142	+	WP_016659558.1	WP_016659558.1		CDP-diacylglycerol--serine O-phosphatidyltransferase	pssA	69464973	GA693_RS00440	825	274	
gene	protein_coding	GCF_009914475.1	Primary Assembly	chromosome		NZ_CP045198.1	1167	2255	+						69464974	GA693_RS00445	1089		
CDS	with_protein	GCF_009914475.1	Primary Assembly	chromosome		NZ_CP045198.1	1167	2255	+	WP_005182214.1	WP_005182214.1		hypothetical protein		69464974	GA693_RS00445	1089	362	
gene	rRNA	GCF_009914475.1	Primary Assembly	chromosome		NZ_CP045198.1	2699	4236	+						69464975	GA693_RS00450	1538		
rRNA		GCF_009914475.1	Primary Assembly	chromosome		NZ_CP045198.1	2699	4236	+				16S ribosomal RNA		69464975	GA693_RS00450	1538		
gene	tRNA	GCF_009914475.1	Primary Assembly	chromosome		NZ_CP045198.1	4298	4374	+						69464976	GA693_RS00455	77		
tRNA		GCF_009914475.1	Primary Assembly	chromosome		NZ_CP045198.1	4298	4374	+				tRNA-Ile		69464976	GA693_RS00455	77		anticodon=GAT
gene	tRNA	GCF_009914475.1	Primary Assembly	chromosome		NZ_CP045198.1	4445	4520	+						69464977	GA693_RS00460	76		
tRNA		GCF_009914475.1	Primary Assembly	chromosome		NZ_CP045198.1	4445	4520	+				tRNA-Ala		69464977	GA693_RS00460	76		anticodon=TGC
gene	rRNA	GCF_009914475.1	Primary Assembly	chromosome		NZ_CP045198.1	4874	7763	+						69464978	GA693_RS00465	2890		
rRNA		GCF_009914475.1	Primary Assembly	chromosome		NZ_CP045198.1	4874	7763	+				23S ribosomal RNA		69464978	GA693_RS00465	2890		
gene	rRNA	GCF_009914475.1	Primary Assembly	chromosome		NZ_CP045198.1	7955	8069	+					rrf	69464979	GA693_RS00470	115		
rRNA		GCF_009914475.1	Primary Assembly	chromosome		NZ_CP045198.1	7955	8069	+				5S ribosomal RNA	rrf	69464979	GA693_RS00470	115		
gene	protein_coding	GCF_009914475.1	Primary Assembly	chromosome		NZ_CP045198.1	8189	9577	-						69464980	GA693_RS00475	1389		
CDS	with_protein	GCF_009914475.1	Primary Assembly	chromosome		NZ_CP045198.1	8189	9577	-	WP_160241628.1	WP_160241628.1		dihydrolipoyl dehydrogenase		69464980	GA693_RS00475	1389	462	
