# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_010918895.1	Primary Assembly	chromosome		NZ_CP044483.1	1	1383	+					dnaA	58161665	FSC11_RS00005	1383		old_locus_tag=FSC11_00005
CDS	with_protein	GCF_010918895.1	Primary Assembly	chromosome		NZ_CP044483.1	1	1383	+	WP_004897458.1	WP_004897458.1		chromosomal replication initiator protein DnaA	dnaA	58161665	FSC11_RS00005	1383	460	
gene	protein_coding	GCF_010918895.1	Primary Assembly	chromosome		NZ_CP044483.1	1493	2641	+					dnaN	58161666	FSC11_RS00010	1149		old_locus_tag=FSC11_00010
CDS	with_protein	GCF_010918895.1	Primary Assembly	chromosome		NZ_CP044483.1	1493	2641	+	WP_108675707.1	WP_108675707.1		DNA polymerase III subunit beta	dnaN	58161666	FSC11_RS00010	1149	382	
gene	protein_coding	GCF_010918895.1	Primary Assembly	chromosome		NZ_CP044483.1	2669	3751	+					recF	58161667	FSC11_RS00015	1083		old_locus_tag=FSC11_00015
CDS	with_protein	GCF_010918895.1	Primary Assembly	chromosome		NZ_CP044483.1	2669	3751	+	WP_163164401.1	WP_163164401.1		DNA replication/repair protein RecF	recF	58161667	FSC11_RS00015	1083	360	
gene	protein_coding	GCF_010918895.1	Primary Assembly	chromosome		NZ_CP044483.1	3807	6275	+					gyrB	58161668	FSC11_RS00020	2469		old_locus_tag=FSC11_00020
CDS	with_protein	GCF_010918895.1	Primary Assembly	chromosome		NZ_CP044483.1	3807	6275	+	WP_163164403.1	WP_163164403.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	58161668	FSC11_RS00020	2469	822	
gene	protein_coding	GCF_010918895.1	Primary Assembly	chromosome		NZ_CP044483.1	6466	6813	+						58161669	FSC11_RS00025	348		old_locus_tag=FSC11_00025
CDS	with_protein	GCF_010918895.1	Primary Assembly	chromosome		NZ_CP044483.1	6466	6813	+	WP_005220462.1	WP_005220462.1		hypothetical protein		58161669	FSC11_RS00025	348	115	
gene	protein_coding	GCF_010918895.1	Primary Assembly	chromosome		NZ_CP044483.1	7551	8714	-						58161670	FSC11_RS00030	1164		old_locus_tag=FSC11_00030
CDS	with_protein	GCF_010918895.1	Primary Assembly	chromosome		NZ_CP044483.1	7551	8714	-	WP_004814020.1	WP_004814020.1		glutathione-dependent formaldehyde dehydrogenase		58161670	FSC11_RS00030	1164	387	
gene	protein_coding	GCF_010918895.1	Primary Assembly	chromosome		NZ_CP044483.1	9044	10987	-						58161671	FSC11_RS00035	1944		old_locus_tag=FSC11_00035
