# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_019343495.1	Primary Assembly	chromosome		NZ_CP072549.1	3039028	73	-						69581509	J7649_RS00005	1713		old_locus_tag=J7649_00005
CDS	with_protein	GCF_019343495.1	Primary Assembly	chromosome		NZ_CP072549.1	3039028	73	-	WP_219308724.1	WP_219308724.1		tetratricopeptide repeat protein		69581509	J7649_RS00005	1713	570	
gene	protein_coding	GCF_019343495.1	Primary Assembly	chromosome		NZ_CP072549.1	153	1442	+					hemA	69581510	J7649_RS00010	1290		old_locus_tag=J7649_00010
CDS	with_protein	GCF_019343495.1	Primary Assembly	chromosome		NZ_CP072549.1	153	1442	+	WP_219308725.1	WP_219308725.1		glutamyl-tRNA reductase	hemA	69581510	J7649_RS00010	1290	429	
gene	protein_coding	GCF_019343495.1	Primary Assembly	chromosome		NZ_CP072549.1	1582	3504	-						69581511	J7649_RS00015	1923		old_locus_tag=J7649_00015
CDS	with_protein	GCF_019343495.1	Primary Assembly	chromosome		NZ_CP072549.1	1582	3504	-	WP_005252568.1	WP_005252568.1		DNA primase		69581511	J7649_RS00015	1923	640	
gene	protein_coding	GCF_019343495.1	Primary Assembly	chromosome		NZ_CP072549.1	3730	4695	-						69581512	J7649_RS00020	966		old_locus_tag=J7649_00020
CDS	with_protein	GCF_019343495.1	Primary Assembly	chromosome		NZ_CP072549.1	3730	4695	-	WP_219308726.1	WP_219308726.1		outer membrane protein assembly factor BamD		69581512	J7649_RS00020	966	321	
gene	protein_coding	GCF_019343495.1	Primary Assembly	chromosome		NZ_CP072549.1	4767	5819	+					rluD	69581513	J7649_RS00025	1053		old_locus_tag=J7649_00025
CDS	with_protein	GCF_019343495.1	Primary Assembly	chromosome		NZ_CP072549.1	4767	5819	+	WP_219308727.1	WP_219308727.1		23S rRNA pseudouridine(1911/1915/1917) synthase RluD	rluD	69581513	J7649_RS00025	1053	350	
gene	protein_coding	GCF_019343495.1	Primary Assembly	chromosome		NZ_CP072549.1	5857	6597	+					pgeF	69581514	J7649_RS00030	741		old_locus_tag=J7649_00030
CDS	with_protein	GCF_019343495.1	Primary Assembly	chromosome		NZ_CP072549.1	5857	6597	+	WP_219308728.1	WP_219308728.1		peptidoglycan editing factor PgeF	pgeF	69581514	J7649_RS00030	741	246	
gene	protein_coding	GCF_019343495.1	Primary Assembly	chromosome		NZ_CP072549.1	6638	7198	+						69581515	J7649_RS00035	561		old_locus_tag=J7649_00035
